"","df$Narrative","df$VessSz","df$VessSpd"
"187","ECE rept; 35 ft humpback; netting over head behind blowholes, drapes right flipper & extends to flukes. Tight orange float line w/ black toggles coming from left head & over back to tail on right - line tight, not shifting; appears to have difficulty fluking; resighted 8/11 & 8/31 still entangled",NA,NA
"188","WW rept; small whale (juvenile or calf) w/ net around tail trailing ~20' behind flukes; no one stood by CCS searched but could not relocate it",NA,NA
"189","WW rept; 35-38ft humpback w/ line running through mouth to multiple wraps around peduncle & trailing ~4' beyond flukes; Wraps likely to become constricting as animal grows. some scarring on back & tail stock and cyamids present on flanks. Disentangled.",NA,NA
"190","Dependent calf. WW ""Dolphin VI"" rept; line coming from forward of right flipper & over the back, anterior to dorsal fin (poss a complete body wrap); tangle of line & seaweed on left flank; mouth is likely attachment point, but can't confirm; Calf of Giraffe, mother too protective to get close enough to disentangle. Still entangled @ last sighting on 9/12/00, no resights.",NA,NA
"191","Blair Mase rept; 860 cm, code 4, male; rather deep rope lacerations (8-10cm) with necrotic edges on the leading edges of flukes and ventral peduncle",NA,NA
"192","Dependent calf. Washed up on 10/8/00; CCSN responded. 20ft, unknown gender. Very decomposed.  White horizontal scar on flukes. After the skeleton was cleaned a bundle of 3.5 inch mesh net about 13 by 22 cm was found in the blowhole area of the skull.  This was not visible before cleaning.  This portion of net had apparently been inhaled by the whale, presumably causing suffocation, then later the net apparently could not be pulled out, so it was cut away as close to the blowhole as possible.  When the skeleton was salvaged, none of the net was visible outside of the blowhole, and this area of skin around the blowhole was left intact. Full extent of entanglement unknown due to state of decomp. No evidence of skeletal injury. COD = obstruction of nares by netting likely interfered with respiration + prevented complete closure of nares, therefore aspiration of seawater. Skeleton, missing left scapula, both pelvic bones, and left zygomatic bone, salvaged on 10/9 for Northeastern Univ., Boston.",NA,NA
"193","f/v rept; 30-35' whale, free-swimming w/ line across back from forward right side (possible mouth attachment). 4 small oval buoys & netting on back, forward of dorsal fin. Wraps on the peduncle leading to possible weight. Line across back & dorsal chaffing & cutting in in places. 2' long gash along right side, forward of dorsal. No resights",NA,NA
"194","WW Dolphin Fleet rept; Line over head & through mouth w/ several tight wraps around peduncle & left fluke (hogtied) w/ ~80' trailing line. Blood observed along 3' of peduncle. Lethargic behavior. Not relocated.",NA,NA
"195","rec boat rept; Probable juvenile Humpback, badly entangled with multiple body wraps w/ lots of gear trailing, rept as gillnet.  Restricted swimming, possibly anchored, blood on whale noted. Not relocated",NA,NA
"196","f/v rept whale in his gear; 30ft, entangled in gillnet attached to and towing vessel.  Netting on head and peduncle. Partial disentanglement - gear still on peduncle, head involvement unknown. Telemetry buoy attached - came off on 11/23 & never retrieved",NA,NA
"197","F/V rept entangled by flukes in gillnet for approximately 1 hour.  Whale breached, freed itself, and swam away. F/V returned to fishing net, indicating no damage/gear lost. NEFOP observer on another vessel confirmed event.",NA,NA
"198","Severely emaciated. Edema & deep muscle & connective tissue tearing associated with healed entanglement marks on peduncle and leading edges. Suspect prior entanglement affected ability to successfully forage.",NA,NA
"199","EN RESULTS: Stranded live, severely emaciated, w/ signs of premortem EN & VS. Evidence of chronic EN = constricting wraps @ fluke insertion caused a pair of deep lacerations that were necrotic. Cyamids in wounds & diffuse across back. COD = starvation due to debilitating propeller & entanglement wounds",NA,NA
"200","Entangled in one set of netting that became anchored in another set of netting. Necropsy results indicate wraps around rostrum immobilized the skull and caused damage to epaxial muscles, atlas/condyle joint, and spinal cord fracture. IE broke it's neck. Skeleton recovered 1 month later. On display in Gloucester, MA",NA,NA
"201","Reported by Wayne Davis, Commercial fish spotter on 7/22; free-swimming with line over head and caught on pectorals, dragging orange poly ball - full configuration unknown.",NA,NA
"202","WW Portuguese Princess rept; free-swimming w/ line through mouth trailing along both sides with no wraps; shed gear; Scarring indicates entanglement was more severe at one point w/ constricting wraps of lower jaw & peduncle; Successfully reproductive, healthy resights",NA,NA
"203","High speed ""cat"" ferry, trained observer rept; Spotted by high speed ferry at 40 knots. Saw buoy midway between blowhole & dorsal fin - attachment point(s) and configuration unknown. WW Friendship V responded & did not relocate entangled whale (many in area)",NA,NA
"204","CCS Naturalist rept; Whale was free-swimming, trailing 75ft of line and buoy from flukes. Configuration unknown. Disentangled, resights healthy",NA,NA
"205","WW Dolphin 8 CCS/S. Landry rept; Monofilament noted on right fluke blade, attachment point(s) & full configuration unknown. Entanglement may have been witnessed. Healthy resights until entanglements in 2003, 2011 (2x), & 2012. Successfully reproductive",NA,NA
"206","PMMRC/S. Rocca rept; Sighted 9/17/01, not reported until 9/18/01. Free-swimming w/ line through mouth & wrapping left flipper. @ least 2 tight body wraps. Line trailing down both sides, twists together aft of flukes & trails 150ft to tangle. Resighted 9/23/01, disentangled. Small pieces of line remain, expect to shed. Determined that line had cut into left flipper insertion but no documentation of how deep. No resights",NA,NA
"207","Unconfirmed report of whale entangled in beach-set gillnet gear.  Reporter observed Pr. Humpback (long white flippers 35-40 ft) swim into gear. Multiple wraps around the head & flippers, buoy trailing 70 ft. Full configuration unknown, unclear if wraps loose or constricting. Aerial survey following day did not resight.",NA,NA
"208","F/V ""C-Kat""; Whale was anchored in gear. CCS disentangled on 3/15 -- likely that all gear was removed.",NA,NA
"209","F/V rept to USCG; Whale was anchored in gear; constricting wrap(s) on tail stock.  Disentangled on 4/5/02. Gear owner interview says gear set 3/31/02",NA,NA
"210","F/V rept; free-swimming with green line wrapped 2-3x around peduncle & trails 50-60 ft. Unclear if wraps loose or constricting. Fisherman and RI state officials attempted to stand by but whale was lost in fog.  ""really long white flippers"" (3/10/03 CCS has as confirmed entanglement & species)",NA,NA
"211","Anchored by line going through mouth: exiting left mouth & ending @ buoy, exiting right mouth & ending @ 6 single lobster traps (5 different gear owners). Reported as thin. Disentangled - left with short piece of line in mouth, expect to shed.  Maine officials claim same whale was entangled and disentangled by fisherman 3X before in previous weeks.  Whale found dead on Richmond Island ME on 6/7/02  Samples collected by MAL, but no necropsy. Carcass had evidence of constricting line on peduncle & rostrum",NA,NA
"212","Free-swimming w/ 20-30 wraps of heavy line around each fluke blade leading to a large, tangled mass of line beneath & aft of flukes. Deformed tail - twisted & was vertical rather than horizontal (similar to Tiara). Emaciated. Disentangled - all line removed except for a small bit still embedded in one leading edge. No resights",NA,NA
"213","Rept free-swimming w/ blue-green line that shifts between crossing over rostrum and back. WW vessels stood by, CCS responded but whale lost in fog. Resighted on 7/12 - line across back gone, but reported to have line trailing along left side. Seen in 2003 with no gear visible.",NA,NA
"214","Unconfirmed report w/ description consistent w/ humpback (bumps on head, bumps between dorsal & tail). Free-swimming w/ rolled blue netting across the back and forward of dorsal fin. Full configuration unkonwn. Report came in too late in the day for any action (20:20). Interviewed by D.Morin - likely huwh in gillnet.",NA,NA
"215","WW Nautilus rept; Lactating female. Free-swimming. Capt described embedded left pectoral wrap. WW attempted to disentangle (unauthorized disentanglement) - rept removed 300' of line (gave away to unknown person) leaving 20' of embedded wrap with remaining configuration unknown  **Subsequent sightings indicate gear free & healthy (need to confirm reproductively successful) - agh Jan2018",NA,NA
"216","CCS R/V Shearwater crew rept. Single loop through mouth, one end tied back to itself on whale's back posterior to blowholes, other end runs over right flipper to unknown weight suspended below. Unsuccessful tagging attempt. Resighted on Stellwagen by WW MCA (WCNE) on 8/16/02. CCS responded but cancelled attempt due to high seas. Whale still carrying a heavy suspended weight from the right flipper - animal consistently rolling to right as it dove. Resighted gear free 5/5/03, healthy resights, reproductively successful.",NA,NA
"217","WW Friendship 5 rept; free-swimming with heavy monofilament line in a tight body wrap forward of the flippers. Animal lost, no response made.",NA,NA
"218","Reported by USCG as small humpback in lobster gear.  2 buoys w/ line across back and head. Five minutes after the initial call, they called to say the whale had freed itself.  Portuguese Princess (WW vessel) verified species and that whale was free of gear.",NA,NA
"219","Small HUWH found in herring weir, fisherman removed top poles and dropped top twine of weir on 9/7.  Whale swam out on its own during the night of Sept 8/9.",NA,NA
"220","Fisherman reported whale anchored in his own lobster gear. Constricting line wrapping rostrum and through mouth leading to anchoring gear. Disentangled on 9/10/02",NA,NA
"221","F/V rept; Free-swimming w/ line coming out of mouth. Full configuration unknown. No one stood by, no response mounted",NA,NA
"222","EN RESULTS: WW ""Aurora"" (WCNE) rept; Loose loop of line over and around right fluke trailing a few feet. Buoy near right flipper but attachment point unknown. No response due to limited daylight.  Next day Mason Weinrich sighted animal, free of gear. Evidence of recent VS as well.",NA,NA
"223","Dependent calf. 25ft yearling female carcass anchored in gear.  By the time response was mounted, carcass was found floating without gear.  Carcass washed up on 10/2 at Race Point. Gear impressions indicated 2 ropes, originating left mouth, wrapped around the body @ least 12x between blowhole and fluke base, forming a constricting criss cross pattern along caudal back. Another line ran from right mouth & wrapped right pectoral insertion. Both flippers pinned to body. Some large areas of superficial bruising indicated intense strain against line. Drowning = most likely COD but evidence that hyperthermia also played a role. Salvaged on 10/3. The entire skeleton, missing one stylohyoid, was salvaged . Both racks of baleen were saved. Both sets of ear bones went to Darlene Ketten. When the skeleton was cleaned, three ribs were found to have been broken and healed. The skeleton was given to The World of Nature Museum of Osteology, Oklahoma City, OK to be articulated for display.",NA,NA
"224","VMSM vessel observed whale next to gill net, acting abnormally. When whale lunged up out of the water, they noticed a green line across it’s back.  When the whale dove, the high flyer disappeared under the water.  Then, buoy surfaced and whale was not seen again. Gear was examined and found to be intact and undamaged.",NA,NA
"225","WW ""Fundy Cruiser""; Sparse details available. Free-swimming with line on tail. Some trailing gear removed by CAN CG, but attachment point and final configuration unknown. No resights",NA,NA
"226","24 ft female dependent calf, Stranded live, attempts to refloat unsuccessful. Died @ 1900. Necropsy conducted on 10/19. COD=unknown, but no indication of HI. Histo reports animal has been in contact with cetacean morbillvirus. Because it was so fresh, many tissue samples were taken.  Both sets of ear bones went to Darlene Ketten.  Both racks of baleen were saved.  The entire skeleton was salvaged on 10/19 and donated to the University of Michigan in Ann Arbor. **2017 review confirmed evidence of subacute entanglement with associated hemorrhaging. Review states likelihood that EN debilitated whale and contributed to stranding event is moderate to high. - 30Jan2020 agh",NA,NA
"227","Commercial F/V reported whale in his pot gear to USCG. Restricted movement, possibly anchored, line through mouth and wrapping rostrum. Line wrapped at least one flipper and looped once around tail. F/V disentangled whale with MERR and USCG standing by. Gear owner interviewed - pots set @ 14:30 on 11/19/02",NA,NA
"228","2 strands of monofilament on dorsal side of fluke attachment point(s) and full configuration unkonwn. Discovered during photo analysis 18 months later. Seen the day before w/ no gear. Resighted gear free & healthy.",NA,NA
"229","Entrapped in weir. Escaped before tide dropped",NA,NA
"230","EN RESULTS: VAMRC pilot rept; Necropsy by VMSM showed probably ship strike injury (major trauma to lower jaw, right mandible shattered, left mandible broken and associated muscle hemorrhaging documented) Obvious evidence of entanglement (both fresh and healed) noted around flukes and peduncle.",NA,NA
"231","WW ""Hurricane II"" rept; Lactating female, free-swimming w/ line through mouth. Line exiting left mouthline leads to surface system 40ft beyond flukes. Line exiting right mouthline trails to heavy gear. Disentangled on 6/24/03 - small amount of gear may remain on whale but is likely to shed. Emaciated - though this may be due more to northern migration w/ nursing calf. Interviewed gear owner - gear set lost in early June.",NA,NA
"232","FV rept; free-swimming w/ simple loop at flukes leading back to a tangle of line. Line cutting into leading edges of flukes a bit and animal appears a little thin, but not emaciated. Disentangled. No resights. Gear recovered line and trawl can that do not appear to be from commercial fixed fishing gear",NA,NA
"233","NEFSC aerial rept. Line through mouth passing under pectorals. Line from right flipper crosses over peduncle and under left fluke. Line from left flipper crosses over dorsal side of left fluke. Twist together & end 30ft @ tangle of line & 2 poly balls. Partial disentanglement on 7/9/03 - telemetry attached. Disentangled on  7/10/03. Poor health - sloughing skin, some cyamids, and thin. Photos from 7/10/03 show line had been cutting into left pectoral insertion. Healthy resights",NA,NA
"234","WW ""Cetacean Quest"" rept; Dependent Calf with mother, only calf is entangled.  Whales do not appear to be in distress. Entanglement described as ""at least two wraps of rope around tail stock and possibly more than 100 fathoms of tangled rope and a high flyer trailing. Unable to confirm if wraps constricting or likely to become so since it's a calf; no resights",NA,NA
"235","Dolphin Fleet WW vessel reports entanglement with no visible injuries and behaving normally.  Entanglement reported as red rope crossing the whales back aft of the flippers. No trailing line, unknown attachment point(s).  Disentanglement team ready to respond but whale lost as weather deteriorated (fog, increased swells, zero visibility), seen multiple times around 30july03 gear-free by several naturalists (photos as well).",NA,NA
"236","Whale visually tracked from shore until lost sight at 15:45.  USCG vessel on scene but not able to get close to the whale due to its location in shallow water and breakers.  Gear described as a buoy near the head with trailing gear that includes a log, but unable to confirm.  Swimming slowly, apparently not anchored",NA,NA
"237","WW Vessel ""Hurricane II"" rept; Embedded peduncle wraps (2 diff types of rope) - 1 formed a loop & 1 formed a tight knot - join together 10ft aft of flukes. Disentangled. Healthy resights. Successfully reproductive",NA,NA
"238","Free-swimming with 100ft of heavy line trailing aft of flukes, unknown attachment point(s) and configuration. Team attached a telemetry buoy and left scene. Buoy was almost immediately detached from whale and found by passing boater.",NA,NA
"239","Fishing vessel reported free-swimming whale with single line through mouth leading back to a buoy trailing 30 ft behind flukes, no other lines noted. Full configuration unknown.  Fishing vessel stood by for 1.5 hrs until forced to leave the scene due to family emergency back on land.  USCG unable to relieve fishing vessel in time.  Increasing fog significantly limiting visibility.  Meanwhile CCS was traveling overland, arriving in Chatham at 15:15.  At this point CCS and the Chatham harbormaster decided the disentanglement response should be aborted, due to the extremely low chance of relocating the whale due to very poor visibility and the 1 hr length of time since the fishing boat was last with the whale. Unable to confirm if this is the same whale as reported on 8/14/03.",NA,NA
"240","Tuna spotter reported. Line through mouth and trailing. Full configuration unknown. Not relocated. No photos and unable to confirm if resight of 8/8/03 animal",NA,NA
"241","Carcass of dependent calf anchored in gear. WW Vessel reported but did not approach. Bob Bowman relocated whale on 08/17 and photo documented, removed gear and vhf tagged for recovery of carcass by COA. Necropsied 8/25-26 by COA",NA,NA
"242","WW rept; free-swimming w/ heavy gear. Embedded line in peduncle & fluke blades at insertion & notch. 6+ lengths of line lead to anchor system & surface system trailed ~300ft. Animal in poor condition - thin with numerous cyamids on body. Partial disentanglement - removed ~ 300 ft of gear, but unable to remove most deeply embedded line in tail stock.  Unknown amount of gear trailing and hanging underwater. Telemetry attached but never transmitted (suspect heavy trailing gear holding VHF below water).  Sat buoy determined to be adrift as of 9/28 was never recovered. Animal never resighted. ID based on dorsal fin, but not 100% positive.",NA,NA
"243","Reported one day later, therefore no response.  Photos show 2-3 buoys trailing a few feet behind and apparent attachment to right flipper. Line of unknown length trailing over left fluke w/ unknown attachment point.",NA,NA
"244","Dolphin Fleet rept; Entanglement reported as originating as an entanglement of the flipper(s), which are pinned to the body with both netting + rope.  There is also netting and rope wrapping the back. WW vessel unable to stand by.  Disentanglement to scene on boat, Fuji blimp assisting with tracking of whale. Team removed significant amounts of rope + monofilament netting from whale, some gear still remains but both flippers can now move freely.  Blimp had to return to shore to refuel.  D. team unable to attach telemetry buoy, and incoming darkness brought disentanglement effort to a close. Resighted gear free on 9/1/03",NA,NA
"245","East Coast Ecosystems rept; Juvenile, emaciated, breached 2x - only visible gear = single knotted line deeply embedded in tailstock. DFO reports resights over next few days indicate gear free, but no documentation of original sighting or resights to confirm or determine health status.",NA,NA
"246","Tuna spotter plane rept. Free-swimming w/ constricting wrap over head/blowholes plus trailing line, buoy, and anchor. Partial disentanglement - removed some of trailing gear and anchor. Attached telemetry buoy. Telemetry buoy + some gear recovered 9/8/03. Confimed gear free 10/7/03.",NA,NA
"247","WW ""Cetacean Quest"" rept; Reported to have a single wrap of line around the peduncle and trailing a high flyer and balloon, possibly anchored.  USCG to scene with disentanglement gear, able to disentangle from the ww vessel because the whale remained calm next to that boat.  Able to cut line, and collected gear.",NA,NA
"248","Juvenile with gear through mouth leading to weighted gear. Disentangled",NA,NA
"249","Wrapped from head to dorsal in gillnet & anchored. Collaborative effort to disentangle, whale anchored with tail 10-12 ft under water. Fisherman came to scene to haul gear. After disentangled, the whale lay motionless at the surface. After the team used an extended boat hook to bring the flukes up to the surface, the whale arched and swam away.",NA,NA
"250","private vessel rept; Anchored w/ 3 wraps of line from surface system around both fluke blades at notch and insertions. Disentangled. Healthy resights until entanglement on 7/18/11. Successfully reproductive.",NA,NA
"251","Reported by WW Vessel ""Portuguese Princess II"" - Reported to have a line through the mouth and trailing a line down the right side, possibly involving the right flipper, with a buoy at 50 feet and a buoy at 100 feet behind the whale. Full configuration unknown. Shearwater underway, whale watch vessels were unable to stand by until its arrival and the whale was not relocated. Resights indicate gear free and healthy.",NA,NA
"252","Genetics to NEFSC.  Floater first seen 7/6 and stranded 7/7.  Mystic responded and collected Level A, photos, and skin sample.  Could not necropsy due to location (private beach) and lack of disposal funds.  Tagged in case of refloating with Mystic tag number 610 (white) on tip of fluke. Evidence of constricting line on pectoral though no gear present. Some pectoral lacerations cutr down to the bone.",NA,NA
"253","BIWSC rept; Free-swimming with wrap of gillnet forward of dorsal fin. No trailing gear reported, however full configuration unknown. Canadian Govt aircraft searched for whale w/o success",NA,NA
"254","Dependent calf. Entanglement not easily visible from a distance.  NEAq was photographing M/C pair and after a few photos they noticed gear on the calf & then concentrated on documenting that entanglement.  They contacted Campobello Whale Rescue Team.  The Nereid continued to stand by until rescue arrived.  Animals become difficult to approach after several attempts to attach to the entangling gear.  Attempts to grapple entangling gear were unsuccessful.  Weather prevented further attempts.  Gear:  Believed to be one line looped under chin that is holding a mass of gillnet anterior of the dorsal fin behind blow hole, no constricting wraps. One trailing line with bitter end at about the fluke insertion.  Sighted gear free 8/22/04",NA,NA
"255","Dependent calf. BIWSC rept calf of Horizon with rope wrapped around tail - unclear if loose or constricting. Witnessed it shed the gear. No photos. Healthy resights",NA,NA
"256","Lobster FV rept; Anchored. 2 tight head wraps, line exiting right mouth, passing underneath pectoral. One line ending in bullet buoy, other line passed under peduncle, loosely crossed over insertion (from L to R), passed under right fluke blade to gear at seafloor. Disentangled. Resights healthy & successfully reproductive",NA,NA
"257","Tuna spotting plane rept; Anchored/weighted w/ thick tangle of lines across back that leads to a head & body wrap. Lines from tangle lead to seafloor, at least one trap (under right flipper), & surface buoys. Oriented head up & tail down. Partial disentanglement - majority of gear removed, left with simple loop (not a wrap) on tail that may run forward to a flipper.  Sighted gear free 7/21/2005. Gear set ~9/8/04",NA,NA
"258","WW Vessel, Deborah Ann, reported an entangled humpback on Jeffreys Basin.  The whale is believed to be free swimming, however wrapped in line on head and tail.  The line is reported to be ""cutting into"" the whale, but not confirmed. Severe chaffing present  No trailing gear or buoys were reported, but full configuration unknown.  Due to the time of day, no on scene disentanglement response was possible.  CCS is preparing for a re-sight response.",NA,NA
"259","Fisherman reported that there were 5 fishing boats involved in disentangling a humpback whale.  The whale was quite exhausted and very docile after apparently towing the gear 15 miles.  The fishermen were able to haul the tail up and cut the gear off.  It is presumed that the large amount of gear found on the whale was at least partly the result of the whale towing the gear in which it was originally entangled into additional gear along the route. Configuration unknown, but amount of gear described and behavior of whale indicates heavily weighted. The whale is believed to have been released, gear free.  No injuries were described.",NA,NA
"260","Anchored, emaciated w/ poor skin condition. After the initial report the whale was relocated and documented by vessels from the RI Division Fish and Wildlife and the U.S. Navy.   Due to sea conditions, response was not initiated.  The whale was relocated on 12/22/04, CCS responded and successfully disentangled the whale. Gear had been lost within a week of reported entanglement",NA,NA
"261","R/V Gordon Gunter rept; Free-swimming w/ line present on both sides of head, joining together in a knot posterior to the blowhole and extending down the left side of the animal toward the left pectoral. No trailing line present & no line present around flukes. Line did not appear to be embedded or constricting, but attachment point(s) unknown.  No response was mounted.",NA,NA
"262","Rept by R/V Albatross. Free-swimming with buoy trailing 30ft behind. Attachment point(s) & full configuration unknown. Lunge feeding at surface, but appeared to have difficulty swimming. Too dark for photos.",NA,NA
"263","Anchored/Heavily weighted gear with a single wrap of line, through the mouth and wrapped around the fluke.  Cut the lines forward of the tail, leaving the whale with only a single line through its mouth running to short trailing ends. Expect to shed.",NA,NA
"264","Small animal, possible calf - larger animal remained nearby, restricted by weighted or anchored gear. No response due to late time of day. WW & rept FV searched the area on 7/10 but did not relocate.",NA,NA
"265","WW rept: Constricting body wrap, cutting into flippers. Animal underweight. Confirmed gear free 11/28/05 and with new, superficial VS injuries.",NA,NA
"266","BOS rept; full configuration unclear but floatline & netting exiting right mouthline, crossing under to left side of body, then over dorsal and down right side. Shed gear. Successfully reproductive, healthy resights",NA,NA
"267","live animal in weir, released by fisher",NA,NA
"268","Anchored. Line through mouth leading to multiple wraps of left flipper & 2 wraps around body (pinning right flipper). Tangle of line from body & flipper wraps leading to 2 large balloon floats. Line from right mouth & left flipper heading to seafloor & 100 traps. Disentangled on 8/14. No resights",NA,NA
"269","Canadian CG responded. Free-swimming with two tight wraps causing deep creases around its body. Forward wrap possibly embedded. Trailing ~40fm of line terminating @ buoy. Full configuration unknown. Emaciated w/ heavy cyamids. Partially disentangled - when line parted @ unknown point on the whale, the aftmost wrap came free & tight forward line went slack. Expected to shed the remaining gear.",NA,NA
"270","Tuna spotter rpt: Free swimming. Consists solely of constricting lines @ fluke insertions & trailing a single line ending at a ball. No additional body parts involved. Resighted on 9/11 by another tuna spotter. No disentanglement responses made.",NA,NA
"271","WW ""Quoddy Link"" rept; Free-swimming with monofilament netting exiting left side of mouth. No line, wraps, or trailing gear beyond flukes. Disentanglement attempt unsuccessful. Shed gear, healthy resights",NA,NA
"272","WW ""Deborah Ann"" rept. Free-swimming w/ buoy trailing behind at an unreported length.  One loop of line over a leading edge on one fluke is seen. Full configuration unknown.  No response was mounted due to distance and deteriorating sea conditions. **Resights indicate healthy - 01/03/13 agh",NA,NA
"273","WCNE rept; Free-swimming w/ two bullet buoys trail by approximately 1.5 body lengths. Attachment point(s) & full configuration unknown. No response was mounted due to bad weather. Resights indicate gear free and healthy.",NA,NA
"274","Vessel Sarah Elizabeth called in to Coast Guard. Whale entangled in fishing gear, trap separate from line, line around tail, whale alive, white fins and nubbly head. Full configuration unknown.",NA,NA
"275","Entanglement noted during a review of images back on land. Full configuration unknown, scuffing indicates possible shifting. Animal not resighted",NA,NA
"276","Free-swimming w/ single loop of line under the peduncle & over the dorsal flukes leading to a tangle of line & buoys ~10ft aft of flukes. Line deeply incised into insertion on both sides. Extremely emaciated w/ patches of cyamids & and an unusual spinal curvature (likely due to entanglement, possibly congenital or vessel strike); Disentangled on 3/26/06, no resights",NA,NA
"277","R/V Shearwater photographed the whale with a tuna hook embedded in the dorsal fin region with a small piece of monofilament line trailing.  It was not noticed in the field but during photo analysis back at the lab. Resighted confirm gear free and healthy.",NA,NA
"278","WW Whale Watcher rept stood by until relieved by R/V Nancy Foster; ""Sockeye"", an adult male, had line & mesh caught on tubercles of lower, previously deformed jaw. Line trailed along right side with no wraps, and left side with 1 loose wrap around peduncle and 1 loose wrap around left fluke blade. Whale was disentangled and reported to be free of all gear at approximately 14:30 EDT.",NA,NA
"279","WW Friendship 5 rept; Anchored w/ line embedded in blowholes and tightly wrapping body. Tail pulled straight down by unseen weighted gear.  Whale laboring at the surface and moving very slowly in a 100 yd circle. Partial disentanglement by WW vessel - removed and recovered some gear, including two buoys. PCCS disentangled on 7/16. Gear set on 7/13/06",NA,NA
"280","WW Miss Cape Ann (WCNE); line loosely wrapped around deformed portion of whale's fluke. Disentangled. Healthy resights.",NA,NA
"281","WCNE rept; Animal was first seen in a feeding group of about 25-30 whales, with no gear on it. One small vessel was observed trolling and whale watching around the area. Koho at one point lunged near the other vessel. Whale was observed 5 minutes later with a series of green teasers on its back. Sighting on 7/18/06 by CORE confirmed monofilament trailing past tail. PCCS sighted on 7/20/06 and it appeared that gear was only attached by a single hook. Status updated to Minor entanglement, with an action of monitor. A photograph taken by Regina Asmutis-Silvia, of the Whale and Dolphin Conservation Society on 7/26 shows that has lost all of the trailing gear - only the embedded hook and short piece of leader remains. Shed gear, healthy resights.",NA,NA
"282","Recreational FV rept. free-swimming. Line enters left mouthline, exits & reenters @ right chin, then exits right mouthline terminating @ right flank w/ gangion & trap present.  Line from left mouth leads to surface system ~80 aft of flukes. No wraps other than line woven through baleen. Disentangled, no resights",NA,NA
"283","Whale has four constricting/embedded wraps of line over rostrum with a pot buoy and a lobster pot trailing out of mouth.  Greying skin. No disentanglement response that could reach the reported location of the whale was possible before dark.  Coast Guard could not relocate the animal.",NA,NA
"284","A fish-spotter pilot reported and documented an entangled humpback whale in the Great South Channel, approximately 22 nautical miles southeast of Chatham, Massachusetts on Wednesday, 8/23/06. In very poor condition: emaciated, grey skin, embedded gear at fluke insertion nearly severing tail, necrotic flukes. The PCCS disentanglement team working with the pilot, successfully removed all but a small part of the entangling gear. Whale swam off using flippers only.",NA,NA
"285","Whale watch vessel reported a humpback whale carrying monofilament line of unknown length or configuration. Monofilament line was seen trailing from both fluke tips. Attachment point(s) unknown.",NA,NA
"286","Hog-tied in gear: line through both sides of mouth coming to multiple wraps around peduncle; hunched body position. PCCS vessel Shearwater went out to locate animal on 9/7/06, could not locate. Possibility that this is the same animal that was sighted on 8/20/06. Tim Voorheis obtained photos on 9/7/06.  After comparison of photos we could not confirm this is the same animal from 8/20 58.5 nm ENE, so we are leaving them as two separate mortalities.",NA,NA
"287","Ferry rept; Anchored, groundline between pots caught through mouth, 2 tight body wraps pinning left flipper, & multiple peduncle wraps. Animal is hogtied & anchored by tail, only anterior body & dorsal break the surface. Disentangled - It is thought that most of the gear was removed from the animal. Not photo documented well enough to ID.",NA,NA
"288","Private boater reported entanglement to MMSC, but email was lost, and did not place report until 10/2.  Animal is reported to be free-swimming with a tight line in the mouthline. A yellow floating object, possibly a buoy, is attached to this line very close to the head on the left side (confirmed by photos). No blood was noted but line over ""neck"" appeared partially embedded.  No gear is seen trailing beyond the flukes.  The animal appears to be very skinny and the full nature of the entanglement is not known. ID pending.",NA,NA
"289","EN RESULTS: A recreational fisherman reported the sighting to the USCG.  The reporter described the carcass to be ~35 ft in length, long white flippers and severely decomposed. Carcass landed 10/18/06 at Cape Henelop, DE, MERR and Riverhead responded. Morphometrics performed on 10/18, necropsy performed on 10/19.  Evidence of chronic constriction to pectoral, though no gear present. Osteomyelitis + hemorrhaging + cancer. Primary COD = VS (see VS results) + SI due to EN",NA,NA
"290","Animal initially reported by fisherman, however report came in too late ~18:00.  Free-swimming wrapped in net and trailing balloon buoy - unclear if loose or constricting, full configuration unknown. Campobello Whale Recue Team (CWRT) reponded on morning of 10/23/06.  Group searched the are where the animal was initially reported, many whales were observed in the area, however the entangled whale was not resighted. ",NA,NA
"291","Animal was originally sighted by USCG on 1/27/07.  Entanglement description from first report and subsequent confirmation by USCG helicopter: Whale is wrapped in 1/2"" rope ""all over"" with an orange lobster type buoy trailing behind.  The original reporter believe the buoy says ""Evelyn Lynn"".  No network response was available due to the time of day.  Animal was resighted on 1/30/07,  report was received in the early afternoon.  By the time the response team arrived on scene, there was too little light left to proceed. Body wrap likely to become constricting; random cyamid patches; thin body condition. Probable flipper wraps.",NA,NA
"292","Animal first sighted by a recreational fisherman and reported to VAQS.  VAQS disentanglement team responded to animal.  Animal was anchored by the tail in gillnet & line.  The team was able to slowly elevate the line & the tail and make cuts to successfully disentangle the animal.",NA,NA
"293","NEFOP event: live whale entangled in their gillnet as they were hauling back. Pec fins & fluke encountered gear. Whale began to drag boat backwards. Full configuration unknown. Before crew could cut gear, whale dove & surfaced with no gear. Crew examined nets and found no damage. Abrasion ~1 ft to dorsal surface small amount of blood. Gear set on 3/27/07",NA,NA
